Record_ID,Year,Region,TV_Users,Mobile_Users,Mobile_Usage_Share_%
1,2016,Asia,574288,174097,23.26
2,2013,Australia,636880,808083,55.92
3,2017,Asia,500424,501564,50.06
4,2014,Africa,11085,886812,98.77
5,2016,Australia,943104,224326,19.22
6,2019,Asia,894426,846255,48.62
7,2012,Asia,463017,975626,67.82
8,2016,Europe,202811,678949,77.0
9,2017,Asia,529362,836200,61.23
10,2014,Africa,739541,206058,21.79
11,2013,North America,913741,881990,49.12
12,2017,North America,903546,122784,11.96
13,2017,North America,444812,376533,45.84
14,2012,Africa,520252,403450,43.68
15,2015,North America,866842,868802,50.06
16,2014,Europe,482519,418271,46.43
17,2011,Africa,717548,78743,9.89
18,2017,Australia,298969,523468,63.65
19,2015,Africa,676273,929904,57.9
20,2011,Africa,222823,740505,76.87
21,2014,Asia,94269,621297,86.83
22,2010,Asia,810764,645154,44.31
23,2019,Asia,64895,99471,60.52
24,2015,South America,407648,719517,63.83
25,2018,Europe,954074,754770,44.17
26,2010,Africa,246641,857030,77.65
27,2019,Africa,409319,821447,66.74
28,2012,Asia,794118,260942,24.73
29,2016,Africa,512532,745080,59.25
30,2013,Australia,918478,777702,45.85
31,2018,Africa,943404,498295,34.56
32,2012,North America,985919,469402,32.25
33,2014,Australia,339711,74430,17.97
34,2012,Australia,334857,763285,69.51
35,2016,Africa,224241,845617,79.04
36,2014,South America,592927,496080,45.55
37,2018,Asia,491944,72306,12.81
38,2016,Europe,772183,815848,51.37
39,2011,Europe,936492,88655,8.65
40,2013,North America,375747,83180,18.12
41,2018,Europe,88488,60262,40.51
42,2011,Europe,365049,346333,48.68
43,2019,Asia,504614,352096,41.1
44,2018,Asia,275121,493649,64.21
45,2019,South America,912082,587950,39.2
46,2014,North America,245101,208482,45.96
47,2011,Europe,326785,586479,64.22
48,2013,South America,404484,741325,64.7
49,2016,North America,910897,153285,14.4
50,2017,Australia,588719,714347,54.82
51,2012,Europe,288900,879608,75.28
52,2010,Europe,686124,725143,51.38
53,2013,Asia,200984,71353,26.2
54,2011,Africa,967889,373688,27.85
55,2017,North America,680392,156874,18.74
56,2013,Europe,760374,222730,22.66
57,2011,North America,711062,522167,42.34
58,2015,South America,677245,201718,22.95
59,2015,South America,806228,490405,37.82
60,2019,Africa,901015,840103,48.25
61,2013,Europe,173935,754997,81.28
62,2015,Asia,615302,470161,43.31
63,2011,Europe,697477,315532,31.15
64,2019,North America,948257,699960,42.47
65,2011,Australia,292469,880376,75.06
66,2019,South America,410237,594978,59.19
67,2013,North America,483937,408952,45.8
68,2017,Africa,789440,998033,55.83
69,2016,South America,63096,530027,89.36
70,2018,Asia,736764,184943,20.07
71,2017,South America,678431,843597,55.43
72,2014,Australia,861081,722146,45.61
73,2011,Europe,804473,827679,50.71
74,2014,Australia,747411,653933,46.66
75,2017,Australia,512827,563109,52.34
76,2019,Europe,50058,406429,89.03
77,2018,South America,582551,118659,16.92
78,2018,Africa,232574,694855,74.92
79,2010,Europe,114820,343888,74.97
80,2018,Europe,641933,412860,39.14
81,2016,Asia,709830,933957,56.82
82,2018,South America,753186,651729,46.39
83,2017,Europe,499454,741989,59.77
84,2010,Africa,300367,908477,75.15
85,2017,North America,830007,283407,25.45
86,2017,South America,973303,66480,6.39
87,2012,Asia,775064,923358,54.37
88,2010,Australia,293805,731201,71.34
89,2017,Europe,832864,502904,37.65
90,2012,Africa,240119,959525,79.98
91,2012,South America,434363,914487,67.8
92,2010,Africa,563402,683318,54.81
93,2014,Africa,540318,731768,57.53
94,2019,Australia,362195,837560,69.81
95,2016,Asia,712789,621786,46.59
96,2019,South America,844175,314707,27.16
97,2018,Europe,236941,551702,69.96
98,2016,Asia,397900,394596,49.79
